Fabric Name,Fabric #,Style #'s
,0,"18066, 18046, 17052, 17041, 16086, 16080, 16038, 16006, 15050, 15033, 14031, 13074, 13073, 13063, 12090, 12089, 12068, 12038, 12032, 12031, 12002, 11186, 11185, 11183, 11181, 11180, 11169, 11164, 11163, 11161, 11160, 11155, 11153, 11149, 11145, 11141, 11135, 11127, 11114, 11112, 11110, 11098, 11079, 11067, 11065, 11062, 11059, 11057, 11050, 11036, 11033, 11031, 11029, 11026, 11017, 11016, 11007, 11001, 10997, 10975, 10965, 10957, 10956, 10955, 10953, 10936, 10932, 10928, 10926, 10898, 10892, 10880, 10876, 10871, 10868, 10864, 10835, 10834, 10833, 10833, 10829, 10827, 10826, 10826, 10821, 10816, 10805, 10797, 10781, 10739, 10735, 10730, 10730, 10713, 10712, 10705, 10705, 10704, 10703, 10702, 10702, 10663, 10636, 10634, 10632, 10630, 10624, 10624, 10617, 10614, 10613, 10612, 10608, 10604, 10595, 10588, 10588, 10578, 10577, 10575, 10572, 10571, 10553, 10552, 10546, 10535, 10533, 10506, 10505, 10504, 10480, 10459, 10431, 10320, 10317, 10167, 10054, 18074, 19005, 19016, 19081, 19123, 19114, 19172, 19163, 19202, 19350, 19351, 19500, 19566, 19567, 19568, 19569, 19570, 19571, 19572, 19573, 19574, 19575, 19576, 19577, 19578, 19579, 19580, 19581, 19582, 19583, 19584, 19585, 19586, 19587, 19588, 19589, 19590, 19591, 19592, 19593, 19594, 19595, 19596, 19597, 19598, 19599, 19600, 19601, 19602, 19603, 19604, 19605, 19606, 19607, 19608, 19609, 19610, 19611, 19612, 19613, 19614, 19615, 19616, 19617, 19618, 19619, 19620, 19621, 19622, 19623, 19624, 19625, 19626, 19627, 19628, 19629, 19630, 19631, 19632, 19633, 19634, 19635, 19636, 19637, 19638, 19639, 19640, 19641, 19642, 19643, 19644, 19645, 19646, 19647, 19648, 19649, 19650, 19651, 19652, 19653, 19654, 19655, 19656, 19657, 19658, 19659, 19660, 19661, 19662, 19663, 19664, 19665, 19666, 19667, 19668, 19669, 19670, 19671, 19672, 19673, 19674, 19675, 19676, 19677, 19678, 19679, 19680, 19681, 19682, 19683, 19684, 19685, 19686, 19688, 19689, 19692, 19693, 19695, 19697, 19698, 19699, 19700, 19704, 19706, 19707, 19708, 19741, 19744, 19751, 19752, 19180, 19181, 19182, 19183, 19184, 19185, 19186, 19187, 19188, 19189, 19190, 19191, 19192, 19193, 19194, 19195, 19196, 19197, 19198, 19199, 19200, 19201, 19429, 19430, 19431, 19432, 19433, 19434, 19435, 19436, 19437, 19438, 19439, 19440, 19441, 19442, 19443, 19444, 19445, 19446, 19447, 19448, 19449, 19450, 19452, 19454, 19455, 19457, 19458, 19549, 19460, 19461, 19462, 19463, 19464, 19466, 24048, 24047, 24046, 24045, 24044, 24031, 24030, 24027, 24025, 24023, 24022, 24021, 24020, 24010, 24009, 24008, 24007, 18068, 18067, 18066, 18065, 18064, 18063, 18062, 18061, 18058, 18057, 18052, 18051, 18050, 18049, 18048, 18047, 18046, 18045, 18044, 18043, 18042, 18041, 18040, 18039, 18038, 18037, 18036, 18035, 18034, 18033, 18032, 18031, 18030, 18029, 18027, 18026, 18025, 18021, 18020, 18018, 18017, 18016, 18015, 18014, 18013, 18012, 18011, 18010, 18009, 18008, 18007, 18006, 18005, 18004, 18003, 18002, 18001, 18000, 17099, 17098, 17097, 17096, 17095, 17094, 17093, 17092, 17091, 17090, 17089, 17088, 17087, 17086, 17085, 17084, 17083, 17082, 17081, 17080, 17078, 17077, 17076, 17073, 17071, 17068, 17067, 17066, 17065, 17064, 17063, 17062, 17061, 17058, 17057, 17056, 17055, 17054, 17052, 17050, 17047, 17046, 17045, 17042, 17041, 17039, 17038, 17037, 17035, 17034, 17033, 17032, 17031, 17030, 17027, 17026, 17025, 17024, 17023, 17022, 17019, 17018, 17017, 17016, 17015, 17014, 17013, 17012, 17010, 17009, 17008, 17007, 17004, 17002, 17001, 17000, 16099, 16093, 16092, 16090, 16089, 16088, 16087, 16086, 16085, 16084, 16083, 16082, 16081, 16080, 16075, 16074, 16073, 16071, 16070, 16069, 16065, 16064, 16063, 16062, 16061, 16060, 16059, 16058, 16055, 16054, 16052, 16051, 16050, 16047, 16046, 16045, 16044, 16043, 16042, 16041, 16040, 16039, 16038, 16037, 16036, 16035, 16034, 16033, 16032, 16030, 16029, 16028, 16027, 16026, 16025, 16024, 16023, 16022, 16021, 16019, 16013, 16012, 16010, 16009, 16008, 16007, 16006, 16004, 15099, 15096, 15095, 15093, 15092, 15090, 15089, 15088, 15086, 15085, 15084, 15082, 15077, 15076, 15075, 15074, 15073, 15072, 15071, 15070, 15069, 15068, 15067, 15066, 15064, 15063, 15061, 15060, 15058, 15057, 15056, 15051, 15050, 15049, 15048, 15047, 15046, 15045, 15044, 15043, 15042, 15041, 15036, 15033, 15032, 15027, 15026, 15025, 15024, 15022, 15021, 15020, 15015, 15014, 15013, 15012, 15011, 15010, 15008, 15007, 15005, 15004, 15002, 14099, 14098, 14097, 14096, 14095, 14094, 14093, 14092, 14091, 14090, 14089, 14088, 14087, 14086, 14085, 14083, 14082, 14081, 14079, 14078, 14077, 14076, 14074, 14073, 14072, 14071, 14070, 14069, 14068, 14067, 14066, 14065, 14064, 14063, 14062, 14061, 14060, 14059, 14058, 14057, 14056, 14055, 14054, 14053, 14052, 14051, 14050, 14049, 14048, 14047, 14046, 14045, 14044, 14043, 14042, 14041, 14040, 14038, 14037, 14036, 14033, 14032, 14031, 14030, 14028, 14027, 14025, 14024, 14023, 14022, 14020, 14019, 14018, 14016, 14015, 14011, 13084, 13083, 13082, 13080, 13078, 13076, 13075, 13074, 13073, 13066, 13065, 13064, 13063, 13062, 13061, 13058, 13056, 13054, 13048, 13047, 13046, 13045, 13044, 13041, 13040, 13039, 13038, 13037, 13036, 13034, 13033, 13032, 13031, 13030, 13029, 13028, 13027, 13026, 13025, 13023, 13022, 13021, 13020, 13019, 13018, 13017, 13016, 13014, 13013, 13012, 13011, 13010, 13009, 13008, 13007, 13005, 13004, 13003, 13002, 12099, 12098, 12096, 12095, 12094, 12093, 12092, 12091, 12090, 12089, 12088, 12087, 12085, 12081, 12079, 12078, 12077, 12076, 12075, 12074, 12073, 12072, 12071, 12070, 12069, 12068, 12066, 12065, 12064, 12063, 12060, 12059, 12058, 12055, 12054, 12053, 12052, 12051, 12050, 12049, 12048, 12045, 12044, 12042, 12041, 12040, 12038, 12037, 12032, 12031, 12030, 12022, 12021, 12020, 12017, 12015, 12014, 12013, 12012, 12010, 12004, 12003, 12002, 11198, 11196, 11195, 11191, 11186, 11185, 11184, 11183, 11182, 11181, 11180, 11179, 11177, 11174, 11173, 11171, 11170, 11169, 11168, 11164, 11163, 11162, 11161, 11160, 11157, 11155, 11154, 11153, 11149, 11147, 11145, 11141, 11135, 11127, 11118, 11116, 11114, 11112, 11110, 11109, 11098, 11097, 11086, 11079, 11067, 11065, 11062, 11059, 11057, 11050, 11036, 11033, 11031, 11029, 11026, 11019, 11017, 11016, 11007, 11001, 10997, 10975, 10965, 10957, 10956, 10955, 10953, 10936, 10932, 10928, 10926, 10923, 10898, 10892, 10880, 10876, 10871, 10868, 10866, 10864, 10835, 10834, 10833, 10833, 10829, 10827, 10826, 10826, 10821, 10816, 10811, 10807, 10805, 10801, 10797, 10793, 10781, 10739, 10735, 10730, 10730, 10713, 10712, 10705, 10705, 10704, 10703, 10702, 10702, 10663, 10636, 10634, 10632, 10630, 10624, 10624, 10617, 10614, 10613, 10612, 10608, 10604, 10595, 10588, 10588, 10578, 10577, 10575, 10572, 10571, 10553, 10552, 10546, 10535, 10533, 10506, 10505, 10504, 10480, 10459, 10431, 10320, 10317, 10167, 10054, 18053, 18056, 18073, 18074, 18076, 18077, 18080, 18081, 18083, 18084, 18085, 18086, 18087, 18088, 18089, 18096, 18097, 18098, 18070, 18071, 18078, 18079, 19002, 19003, 19004, 19005, 18095, 19006, 19007, 19008, 19009, 19010, 19012, 19001, 19013, 19015, 19016, 19017, 19019, 19020, 19022, 19024, 19026, 19027, 19028, 19031, 19032, 19033, 19029, 19037, 19038, 19040, 19043, 19044, 19045, 19060, 19021, 19061, 19062, 19063, 19065, 19068, 19069, 19070, 19067, 19072, 19076, 19077, 19078, 19079, 19080, 19081, 19074, 19075, 19042, 19089, 19090, 19091, 19096, 19097, 19106, 19107, 19108, 19115, 19119, 19121, 19122, 19123, 19125, 19126, 19127, 19128, 19129, 19131, 19114, 19148, 19150, 19151, 19155, 19159, 19160, 19161, 19164, 19170, 19171, 19172, 19163, 19202, 19211, 19212, 19213, 19214, 19215, 19218, 19234, 19235, 19242, 19243, 19250, 19251, 19252, 19253, 19254, 19247, 19248, 19249, 19256, 19257, 19258, 19259, 19263, 19264, 19265, 19266, 19267, 19268, 19269, 19270, 19271, 19272, 19273, 19274, 19275, 19276, 19277, 19278, 19279, 19280, 19281, 19282, 19283, 19288, 19289, 19304, 19290, 19291, 19292, 19293, 19294, 19295, 19296, 19297, 19298, 19300, 19314, 19315, 19318, 19319, 19321, 19322, 19323, 19327, 19328, 19331, 19332, 19333, 19334, 19335, 19336, 19337, 19338, 19339, 19341, 19342, 19343, 19344, 19347, 19388, 19387, 19350, 19351, 19352, 19353, 19354, 19355, 19356, 19357, 19358, 19359, 19360, 19361, 19362, 19363, 19364, 19365, 19366, 19367, 19368, 19369, 19371, 19372, 19373, 19374, 19375, 19376, 19377, 19378, 19380, 19381, 19382, 19384, 19385, 19386, 19349, 19348, 19389, 19390, 19391, 19392, 19393, 19394, 19397, 19398, 19401, 19402, 19403, 19404, 19405, 19406, 19407, 19408, 19409, 19411, 19412, 19413, 19414, 19415, 19416, 19417, 19420, 19421, 19422, 19423, 19426, 19427, 19428, 19451, 19467, 19468, 19469, 19470, 19471, 19472, 19473, 19474, 19481, 19482, 19489, 19490, 19491, 19493, 19494, 19495, 19496, 19497, 19498, 19499, 19500, 19501, 19502, 19503, 19504, 19505, 19506, 19507, 19508, 19509, 19510, 19511, 19512, 19513, 19514, 19517, 19518, 19519, 19520, 19521, 19522, 19523, 19524, 19525, 19526, 19527, 19528, 19529, 19530, 19531, 19532, 19533, 19534, 19535, 19537, 19538, 19539, 19540, 19541, 19546, 19547, 19548, 19543, 19563, 19544, 19550, 19551, 19552, 19553, 19554, 19555, 19556, 19557, 19558, 19559, 19560, 19561, 19562, 19564, 19565, 19566, 19567, 19568, 19569, 19570, 19571, 19572, 19573, 19574, 19575, 19576, 19577, 19578, 19579, 19580, 19581, 19582, 19583, 19584, 19585, 19586, 19587, 19588, 19589, 19590, 19591, 19592, 19593, 19594, 19595, 19596, 19597, 19598, 19599, 19600, 19601, 19602, 19603, 19604, 19605, 19606, 19607, 19608, 19609, 19610, 19611, 19612, 19613, 19614, 19615, 19616, 19617, 19618, 19619, 19620, 19621, 19622, 19623, 19624, 19625, 19626, 19627, 19628, 19629, 19630, 19631, 19632, 19633, 19634, 19635, 19636, 19637, 19638, 19639, 19640, 19641, 19642, 19643, 19644, 19645, 19646, 19647, 19648, 19649, 19650, 19651, 19652, 19653, 19654, 19655, 19656, 19657, 19658, 19659, 19660, 19661, 19662, 19663, 19664, 19665, 19666, 19667, 19668, 19669, 19670, 19671, 19672, 19673, 19674, 19675, 19676, 19677, 19678, 19679, 19680, 19681, 19682, 19683, 19684, 19685, 19686, 19687, 19688, 19689, 19690, 19691, 19692, 19693, 19694, 19697, 19698, 19699, 19700, 19704, 19706, 19707, 19708, 19709, 19712, 19713, 19716, 19717, 19718, 19719, 19720, 19722, 19723, 19725, 19726, 19727, 19728, 19729, 19730, 19731, 19732, 19733, 19735, 19737, 19738, 19740, 19741, 19742, 19743, 19744, 19746, 19747, 19748, 19749, 19750, 19751, 19752, 19754, 19755, 19756, 19758, 19759, 19760, 19761, 19763, 19764, 19176, 19178, 19180, 19181, 19182, 19183, 19184, 19185, 19186, 19187, 19188, 19189, 19190, 19191, 19192, 19193, 19194, 19195, 19196, 19197, 19198, 19199, 19200, 19201, 19429, 19430, 19431, 19432, 19433, 19434, 19435, 19436, 19437, 19438, 19439, 19440, 19441, 19442, 19443, 19444, 19445, 19446, 19447, 19448, 19449, 19450, 19452, 19454, 19455, 19457, 19458, 19549, 19460, 19461, 19462, 19463, 19464, 19466, 24048, 24047, 24046, 24045, 24044, 24043, 24042, 24041, 24040, 24039, 24038, 24037, 24036, 24035, 24034, 24033, 24032, 24031, 24030, 24029, 24028, 24027, 24025, 24024, 24023, 24022, 24021, 24020, 24019, 24018, 24017, 24016, 24013, 24012, 24011, 24010, 24009, 24008, 24007, 24006, 24005, 24004, 24003, 24002, 24001, 24000, 18069, 18068, 18067, 18066, 18065, 18064, 18063, 18062, 18061, 18059, 18058, 18057, 18052, 18051, 18050, 18049, 18048, 18047, 18046, 18045, 18044, 18043, 18042, 18041, 18040, 18039, 18038, 18037, 18036, 18035, 18034, 18033, 18032, 18031, 18030, 18029, 18028, 18027, 18026, 18025, 18024, 18023, 18022, 18021, 18020, 18019, 18018, 18017, 18016, 18015, 18014, 18013, 18012, 18011, 18010, 18009, 18008, 18007, 18006, 18005, 18004, 18003, 18002, 18001, 18000, 17099, 17098, 17097, 17096, 17095, 17094, 17093, 17092, 17091, 17090, 17089, 17088, 17087, 17086, 17085, 17084, 17083, 17082, 17081, 17080, 17079, 17078, 17077, 17076, 17075, 17073, 17071, 17070, 17068, 17067, 17066, 17065, 17064, 17063, 17062, 17061, 17058, 17057, 17056, 17055, 17054, 17053, 17052, 17051, 17050, 17047, 17046, 17045, 17044, 17043, 17042, 17041, 17040, 17039, 17038, 17037, 17036, 17035, 17034, 17033, 17032, 17031, 17030, 17029, 17027, 17026, 17025, 17024, 17023, 17022, 17021, 17020, 17019, 17018, 17017, 17016, 17015, 17014, 17013, 17012, 17011, 17010, 17009, 17008, 17007, 17006, 17005, 17004, 17003, 17002, 17001, 17000, 16099, 16098, 16097, 16096, 16095, 16094, 16093, 16092, 16091, 16090, 16089, 16088, 16087, 16086, 16085, 16084, 16083, 16082, 16081, 16080, 16079, 16078, 16077, 16076, 16075, 16074, 16073, 16072, 16071, 16070, 16069, 16068, 16066, 16065, 16064, 16063, 16062, 16061, 16060, 16059, 16058, 16055, 16054, 16053, 16052, 16051, 16050, 16049, 16048, 16047, 16046, 16045, 16044, 16043, 16042, 16041, 16040, 16039, 16038, 16037, 16036, 16035, 16034, 16033, 16032, 16031, 16030, 16029, 16028, 16027, 16026, 16025, 16024, 16023, 16022, 16021, 16020, 16019, 16018, 16017, 16016, 16015, 16014, 16013, 16012, 16011, 16010, 16009, 16008, 16007, 16006, 16005, 16004, 16003, 16002, 16001, 16000, 15099, 15096, 15095, 15094, 15093, 15092, 15091, 15090, 15089, 15088, 15087, 15086, 15085, 15084, 15083, 15082, 15081, 15080, 15079, 15078, 15077, 15076, 15075, 15074, 15073, 15072, 15071, 15070, 15069, 15068, 15067, 15066, 15065, 15064, 15063, 15062, 15061, 15060, 15059, 15058, 15057, 15056, 15055, 15054, 15053, 15052, 15051, 15050, 15049, 15048, 15047, 15046, 15045, 15044, 15043, 15042, 15041, 15040, 15039, 15038, 15037, 15036, 15035, 15034, 15033, 15032, 15031, 15030, 15029, 15028, 15027, 15026, 15025, 15024, 15023, 15022, 15021, 15020, 15019, 15018, 15017, 15016, 15015, 15014, 15013, 15012, 15011, 15010, 15009, 15008, 15007, 15006, 15005, 15004, 15003, 15002, 15001, 15000, 14099, 14098, 14097, 14096, 14095, 14094, 14093, 14092, 14091, 14090, 14089, 14088, 14087, 14086, 14085, 14084, 14083, 14082, 14081, 14080, 14079, 14078, 14077, 14076, 14075, 14074, 14073, 14072, 14071, 14070, 14069, 14068, 14067, 14066, 14065, 14064, 14063, 14062, 14061, 14060, 14059, 14058, 14057, 14056, 14055, 14054, 14053, 14052, 14051, 14050, 14049, 14048, 14047, 14046, 14045, 14044, 14043, 14042, 14041, 14040, 14039, 14038, 14037, 14036, 14035, 14034, 14033, 14032, 14031, 14030, 14029, 14028, 14027, 14026, 14025, 14024, 14023, 14022, 14021, 14020, 14019, 14018, 14017, 14016, 14015, 14014, 14013, 14012, 14011, 13084, 13083, 13082, 13081, 13080, 13079, 13078, 13077, 13076, 13075, 13074, 13073, 13072, 13070, 13069, 13068, 13067, 13066, 13065, 13064, 13063, 13062, 13061, 13060, 13059, 13058, 13057, 13056, 13055, 13054, 13053, 13052, 13051, 13050, 13049, 13048, 13047, 13046, 13045, 13044, 13043, 13042, 13041, 13040, 13039, 13038, 13037, 13036, 13035, 13034, 13033, 13032, 13031, 13030, 13029, 13028, 13027, 13026, 13025, 13024, 13023, 13022, 13021, 13020, 13019, 13018, 13017, 13016, 13014, 13013, 13012, 13011, 13010, 13009, 13008, 13007, 13006, 13005, 13004, 13003, 13002, 13001, 13000, 12099, 12098, 12096, 12095, 12094, 12093, 12092, 12091, 12090, 12089, 12088, 12087, 12086, 12085, 12082, 12081, 12079, 12078, 12077, 12076, 12075, 12074, 12073, 12072, 12071, 12070, 12069, 12068, 12066, 12065, 12064, 12063, 12061, 12059, 12058, 12057, 12056, 12055, 12054, 12053, 12052, 12051, 12050, 12049, 12048, 12047, 12046, 12045, 12044, 12043, 12042, 12041, 12040, 12039, 12038, 12037, 12036, 12035, 12033, 12032, 12031, 12030, 12027, 12026, 12024, 12023, 12022, 12021, 12020, 12018, 12017, 12016, 12015, 12014, 12013, 12012, 12010, 12009, 12008, 12007, 12006, 12004, 12003, 12002, 12001, 12000, 11197, 11196, 11195, 11194, 11193, 11191, 11190, 11186, 11185, 11184, 11183, 11182, 11181, 11180, 11179, 11178, 11177, 11176, 11174, 11173, 11171, 11170, 11169, 11168, 11164, 11163, 11162, 11161, 11160, 11157, 11155, 11154, 11153, 11152, 11149, 11147, 11145, 11144, 11142, 11141, 11135, 11127, 11126, 11121, 11118, 11116, 11114, 11112, 11110, 11109, 11106, 11103, 11101, 11098, 11097, 11090, 11079, 11067, 11065, 11062, 11059, 11057, 11050, 11047, 11042, 11036, 11033, 11031, 11029, 11028, 11026, 11019, 11017, 11016, 11007, 11001, 10997, 10988, 10975, 10965, 10957, 10956, 10955, 10953, 10940, 10936, 10932, 10928, 10926, 10923, 10898, 10892, 10880, 10876, 10871, 10868, 10866, 10864, 10862, 10840, 10835, 10834, 10833, 10833, 10829, 10827, 10826, 10826, 10821, 10816, 10811, 10807, 10805, 10804, 10801, 10797, 10793, 10781, 10742, 10739, 10735, 10730, 10730, 10713, 10712, 10705, 10705, 10704, 10703, 10702, 10702, 10663, 10636, 10634, 10632, 10630, 10624, 10624, 10617, 10614, 10613, 10612, 10608, 10604, 10600, 10595, 10588, 10588, 10578, 10577, 10575, 10572, 10571, 10553, 10552, 10546, 10535, 10533, 10506, 10505, 10504, 10480, 10459, 10431, 10320, 10317, 10167, 10054, 10025, 18053, 18056, 18073, 18074, 18076, 18077, 18080, 18081, 18083, 18084, 18085, 18086, 18087, 18088, 18089, 18092, 18093, 18094, 18096, 18097, 18098, 18070, 18071, 18078, 18079, 18099, 19002, 19003, 19004, 19005, 18095, 19006, 19007, 19008, 19009, 19010, 19011, 19012, 19000, 19001, 19014, 19013, 19015, 19016, 19017, 19018, 19019, 19020, 19022, 19034, 19035, 19036, 19023, 19024, 19026, 19027, 19028, 19030, 19031, 19032, 19033, 19029, 19037, 19038, 19040, 19043, 19044, 19045, 19047, 19048, 19049, 19041, 19050, 19052, 19053, 19054, 19055, 19057, 19039, 19060, 19021, 19061, 19062, 19059, 19063, 19064, 19065, 19068, 19066, 19069, 19070, 19071, 19067, 19072, 19076, 19077, 19078, 19079, 19080, 19081, 19074, 19075, 19083, 19084, 19042, 19073, 19086, 19087, 19088, 19089, 19090, 19091, 19096, 19097, 19100, 19103, 19106, 19107, 19108, 19109, 19111, 19113, 19115, 19118, 19119, 19120, 19136, 19121, 19137, 19122, 19123, 19124, 19138, 19125, 19139, 19126, 19127, 19128, 19129, 19140, 19130, 19131, 19141, 19142, 19112, 19143, 19144, 19114, 19145, 19146, 19147, 19148, 19149, 19150, 19151, 19152, 19153, 19154, 19155, 19156, 19157, 19158, 19159, 19160, 19161, 19164, 19166, 19167, 19169, 19116, 19170, 19171, 19172, 19175, 19162, 19163, 19165, 19202, 19203, 19204, 19205, 19206, 19207, 19208, 19209, 19210, 19211, 19212, 19213, 19214, 19215, 19216, 19217, 19218, 19219, 19220, 19221, 19222, 19223, 19224, 19225, 19226, 19227, 19228, 19229, 19231, 19232, 19233, 19234, 19235, 19236, 19237, 19238, 19239, 19240, 19241, 19242, 19243, 19244, 19250, 19251, 19252, 19253, 19254, 19245, 19246, 19247, 19248, 19249, 19255, 19256, 19257, 19258, 19259, 19260, 19262, 19261, 19263, 19264, 19265, 19266, 19267, 19268, 19269, 19270, 19271, 19272, 19273, 19274, 19275, 19276, 19277, 19278, 19279, 19280, 19281, 19282, 19283, 19284, 19285, 19286, 19287, 19288, 19289, 19304, 19290, 19291, 19292, 19293, 19294, 19295, 19296, 19297, 19298, 19299, 19300, 19301, 19302, 19303, 19310, 19311, 19313, 19314, 19315, 19316, 19317, 19318, 19319, 19320, 19321, 19322, 19323, 19324, 19325, 19326, 19327, 19328, 19329, 19330, 19331, 19332, 19333, 19334, 19335, 19336, 19337, 19338, 19339, 19340, 19341, 19342, 19343, 19344, 19345, 19346, 19347, 19388, 19387, 19350, 19351, 19352, 19353, 19354, 19355, 19356, 19357, 19358, 19359, 19360, 19361, 19362, 19363, 19364, 19365, 19366, 19367, 19368, 19369, 19370, 19371, 19372, 19373, 19374, 19375, 19376, 19377, 19378, 19379, 19380, 19381, 19382, 19383, 19384, 19385, 19386, 19349, 19348, 19389, 19390, 19391, 19392, 19393, 19394, 19395, 19396, 19397, 19398, 19399, 19400, 19401, 19402, 19403, 19404, 19405, 19406, 19407, 19408, 19409, 19410, 19411, 19412, 19413, 19414, 19415, 19416, 19417, 19418, 19419, 19420, 19421, 19422, 19423, 19424, 19425, 19426, 19427, 19428, 19451, 19467, 19468, 19469, 19470, 19471, 19472, 19473, 19474, 19475, 19476, 19477, 19478, 19479, 19480, 19481, 19482, 19483, 19484, 19485, 19486, 19487, 19488, 19489, 19490, 19491, 19492, 19493, 19494, 19495, 19496, 19497, 19498, 19499, 19500, 19501, 19502, 19503, 19504, 19505, 19506, 19507, 19508, 19509, 19510, 19511, 19512, 19513, 19514, 19515, 19516, 19517, 19518, 19519, 19520, 19521, 19522, 19523, 19524, 19525, 19526, 19527, 19528, 19529, 19530, 19531, 19532, 19533, 19534, 19535, 19536, 19537, 19538, 19539, 19540, 19541, 19542, 19546, 19547, 19548, 19543, 19563, 19544, 19550, 19551, 19552, 19553, 19554, 19555, 19545, 19556, 19557, 19558, 19559, 19560, 19561, 19562, 19564, 19565, 19566, 19567, 19568, 19569, 19570, 19571, 19572, 19573, 19574, 19575, 19576, 19577, 19578, 19579, 19580, 19581, 19582, 19583, 19584, 19585, 19586, 19587, 19588, 19589, 19590, 19591, 19592, 19593, 19594, 19595, 19596, 19597, 19598, 19599, 19600, 19601, 19602, 19603, 19604, 19605, 19606, 19607, 19608, 19609, 19610, 19611, 19612, 19613, 19614, 19615, 19616, 19617, 19618, 19619, 19620, 19621, 19622, 19623, 19624, 19625, 19626, 19627, 19628, 19629, 19630, 19631, 19632, 19633, 19634, 19635, 19636, 19637, 19638, 19639, 19640, 19641, 19642, 19643, 19644, 19645, 19646, 19647, 19648, 19649, 19650, 19651, 19652, 19653, 19654, 19655, 19656, 19657, 19658, 19659, 19660, 19661, 19662, 19663, 19664, 19665, 19666, 19667, 19668, 19669, 19670, 19671, 19672, 19673, 19674, 19675, 19676, 19677, 19678, 19679, 19680, 19681, 19682, 19683, 19684, 19685, 19686, 19687, 19688, 19689, 19690, 19691, 19692, 19693, 19694, 19695, 19696, 19697, 19698, 19699, 19700, 19701, 19702, 19703, 19704, 19705, 19706, 19707, 19708, 19709, 19710, 19711, 19712, 19713, 19714, 19715, 19716, 19717, 19718, 19719, 19720, 19721, 19722, 19723, 19725, 19726, 19727, 19728, 19729, 19730, 19731, 19732, 19733, 19734, 19735, 19736, 19737, 19738, 19739, 19740, 19741, 19742, 19743, 19744, 19745, 19746, 19747, 19748, 19749, 19750, 19751, 19752, 19753, 19754, 19755, 19756, 19757, 19758, 19759, 19760, 19761, 19762, 19763, 19764, 19176, 19177, 19178, 19179, 19180, 19181, 19182, 19183, 19184, 19185, 19186, 19187, 19188, 19189, 19190, 19191, 19192, 19193, 19194, 19195, 19196, 19197, 19198, 19199, 19200, 19201, 19429, 19430, 19431, 19432, 19433, 19434, 19435, 19436, 19437, 19438, 19439, 19440, 19441, 19442, 19443, 19444, 19445, 19446, 19447, 19448, 19449, 19450, 19452, 19454, 19455, 19457, 19458, 19549, 19460, 19461, 19462, 19463, 19464, 19466, 24048, 24047, 24046"
Beige print satin,3166,"19355, 19366"
Lavender midium polka,3164,"19358, 19365"
Peach zebra print crepe,9039,"19360, 19340"
White black tropical print,3168,"19361, 19379"
Orange white polka,9101,"19362, 19371, 19372, 19380"
Navy white polka crepe ,9100,19363
Multi print stripe crepe,9094,19367
Green & beige chain print,3163,19369
Purple floral rayon ,9082,"19370, 19405, 19565"
Blue & white printed moss crepe,3222,19373
Wine floral print crepe,9032,19378
White cotton slub,3115,"19384, 19527, 19537, 19542, 19547, 19551, 19554, 19370"
White telsa,3128,"19385, 19386"
Burgundy french crepe ,9110,19390
Brown french crepe,3223,19391
Mint green paisley print crepe,9040,19393
Beige  cotton slub,3113,19395
Black floral check crepe,9088,19397
Yellow rayon,3131,"19399, 19400, 19476, 19487"
White & black floral crepe ,9108,"19401, 19559"
Black & beige sneck  print mosscrepe,3165,19402
Red & white box print crepe,9061,19403
Pink & orange print satin,9109,19408
Blue white printed crepe,9104,19409
Blue printed crepe,9102,19410
Parrot green crepe ,3226,19412
Blue solid crepe,3227,19413
Solid coffee brown crepe ,3006,19415
Red Bluefloral crepe,9099,19419
Navy multi size polka ggt,3228,19420
Beige plain linen,3171,19421
Red plain linen,3173,19422
Pink & white stripe linen,3175,"19423, 19556, 19424"
Pink plain linen,3172,"19424, 19428, 19563, 19555"
Green & white thick stripe linen,3176,19425
Blue & white thick stripe linen,3174,19426
Green orange plain linen,3177,19427
Blue  tai & dye and dye rayon,9105,"19451, 19484"
Rust block print cotton,3229,19467
Rust polka rayon,3130,19468
Mint green big polka ,3134,19471
Powder blue big polka crepe,3230,19473
White rayon,3158,"19475, 19484"
Red rayon,3220,"19477, 19479, 19325"
Green block print cotton,3233,"19481, 19482"
Blue block print cotton,3234,19483
Peach rayon,3121,"19485, 19506"
Olive rayon,3135,19486
Grey & purple floral crepe,9091,19488
Olive pink floral cotton,3149,"19490, 19476"
Red floral rayon,3231,"19491, 19475"
Peach pink rayon,3136,"19492, 19548"
Green &  pink floral cotton,3146,"19493, 19478, 19480"
Red green floral cotton,3236,"19494, 19486"
Teal floral crepe ,3143,19495
Black big polka crepe ,9118,"19496, 19501, 19696"
Mustard paisely cotton,3188,19497
Wine white floral cotton,3189,19498
Maroon big polka,3162,19499
Red big polka crepe,3159,19502
Pink floral cotton,3151,"19503, 19504, 19513"
Black rayon,3145,"19505, 19546, 19558"
Blue dai & dai chiffon,3137,19508
Blue & green print chiffon,3138,19509
Navy floral cotton,3141,19512
Powder blue rayon,3122,19514
Blue plain linen,3192,"19517, 19523, 19524, 19528"
Brown & white marble print lycra,3238,19518
Black & Grey stripe linen ,3210,19519
Beige rayon,3239,"19520, 19539"
Pink & white check cotton,3190,"19521, 19525, 19534"
Wine ikkat mrslin cotton,3178,19522
Black & white check cotton,3184,"19526, 19529, 19540, 19536"
White & navy floral cotton,3139,19530
Yellow & white mediem stripe ,3181,19531
Green & white stripe cotton,3186,19532
